,sampleId,sampleGroup,SVA,Alu,HERV,PolyA,total,L1
2851,8a9524a4-32bf-4c5a-b48e-00ab2b51bfd5,LUAD,2.0,11.0,2.0,0.0,15,0.0
2852,8ab7f69b-e6e0-4088-834d-1d456c95a3a2,LUAD,3.0,17.0,1.0,1.0,22,0.0
2853,8b595d61-7069-4516-a5bf-9fee4aad7e70,LUAD,1.0,14.0,0.0,0.0,15,0.0
2854,8b7d4241-c232-4e47-abe2-a02b8088add6,LUAD,0.0,9.0,2.0,0.0,11,0.0
2855,8c023b1f-d64f-410c-89ad-95537889ff2d,LUAD,2.0,27.0,0.0,1.0,31,1.0
2856,8c041b97-0b3e-426c-bba4-0b0320f1caaf,LUAD,0.0,7.0,1.0,1.0,9,0.0
2857,8c316c15-bafa-49ae-9deb-d88f90229f85,LUAD,0.0,17.0,2.0,1.0,20,0.0
2858,8cac0361-6973-4ae6-a34a-58f355085ec0,LUAD,0.0,5.0,0.0,1.0,6,0.0
2859,8ceb0358-379f-46ce-9746-e0145e41cdcb,LUAD,0.0,37.0,4.0,3.0,47,3.0
2860,8e39e8c2-3148-440e-833d-758a75f7d57f,LUAD,0.0,87.0,5.0,1.0,94,1.0
2861,8e479714-bd22-4b41-bf2f-e06bdd7fc4f0,LUAD,1.0,40.0,4.0,0.0,50,5.0
2862,8eae4bd0-c282-4897-a7f0-cbcc24a01c80,LUAD,1.0,25.0,4.0,2.0,32,0.0
2863,8efd12a5-7def-4b01-ae04-e72f605e3fb8,LUAD,1.0,21.0,3.0,0.0,25,0.0
2864,8f154f7a-bf81-4f17-bf0f-097d5855d614,LUAD,1.0,10.0,1.0,0.0,14,2.0
2865,8f8e4add-a6ef-49b7-83b1-c81157d64802,LUAD,1.0,11.0,2.0,1.0,16,1.0
2866,8fa8e1f1-a989-4100-9e6a-c83373f81a52,LUAD,2.0,23.0,0.0,0.0,27,2.0
2867,90db1196-dc41-4afd-8407-4a3ba4d4c237,LUAD,1.0,53.0,5.0,2.0,63,2.0
2868,910d472c-1939-4bd3-b293-ff02483c4b79,LUAD,1.0,9.0,2.0,0.0,12,0.0
2869,911fdc9d-3de5-493d-98c7-f567072ca1d5,LUAD,1.0,21.0,1.0,1.0,28,4.0
2870,9196ffb1-f26a-4d9f-b95f-562bcf3470ed,LUAD,1.0,15.0,1.0,2.0,21,2.0
2871,91b7daf7-dfeb-49df-a3f7-bdbf29a50543,LUAD,2.0,46.0,4.0,1.0,54,1.0
2872,92650f66-f8b3-49c8-a1fc-04fba0ffb6fe,LUAD,2.0,13.0,0.0,0.0,16,1.0
2873,946407ae-f113-4e1d-8c81-05c7c8e38fb7,LUAD,1.0,20.0,1.0,1.0,23,0.0
2874,949572b1-666a-4fae-aeaa-0942247ece01,LUAD,0.0,17.0,2.0,1.0,21,1.0
2875,95960889-f586-4e92-88e1-3f38773eba65,LUAD,0.0,23.0,2.0,2.0,27,0.0
2876,95d8fdcd-38a3-4ce2-a11c-941657ccdd79,LUAD,0.0,41.0,2.0,2.0,48,3.0
2877,96bd5361-0324-4b76-8cf7-81212d4fcf74,LUAD,1.0,9.0,2.0,1.0,13,0.0
2878,973cc64f-2a44-44de-aae9-0ce396e8c163,LUAD,1.0,42.0,8.0,0.0,58,7.0
2879,9792d25b-3830-4808-a47b-071eea851c71,LUAD,0.0,12.0,2.0,0.0,19,5.0
2880,97cc40db-0aae-478a-9e6d-bc0da17cb82c,LUAD,1.0,30.0,1.0,2.0,34,0.0
2881,97fc45d2-c025-4111-9925-0c1635a32171,LUAD,0.0,17.0,2.0,1.0,21,1.0
2882,98202796-57f4-4146-92fe-627d27c37e5e,LUAD,1.0,12.0,2.0,2.0,21,4.0
2883,986e5038-258a-49cb-a9b4-59f71f8df11b,LUAD,1.0,14.0,0.0,0.0,15,0.0
2884,9986414f-26b7-4c3b-90cd-feb59dc033a2,LUAD,0.0,2.0,0.0,4.0,6,0.0
2885,9a6ffae0-b589-4aaf-b9a1-aadc47617e75,LUAD,2.0,24.0,2.0,0.0,31,3.0
2886,9ac13263-c20f-4530-bd4f-d20118d20db0,LUAD,0.0,10.0,1.0,0.0,11,0.0
2887,9aed099c-249a-4d8c-bee6-a941ea99cc0b,LUAD,0.0,10.0,0.0,1.0,11,0.0
2888,9afd9d7a-9cf6-44d0-985b-7ed035b5855c,LUAD,1.0,13.0,3.0,0.0,17,0.0
2889,9bb3ba61-68ee-4b48-ad11-aacb3c46c3e1,LUAD,2.0,28.0,2.0,0.0,35,3.0
2890,9bc24fef-9e7f-4ea8-8866-9c351395bb7a,LUAD,2.0,17.0,0.0,0.0,23,4.0
2891,9c008b0b-7f2d-4fc2-acf3-38306b071343,LUAD,0.0,17.0,4.0,2.0,23,0.0
2892,9c182ed0-395d-45f4-a976-56f48e39309d,LUAD,4.0,16.0,3.0,0.0,25,2.0
2893,9c2b56f9-37c6-4864-8900-de0cf6c4262c,LUAD,1.0,53.0,4.0,0.0,64,6.0
2894,9cb36752-20be-4f5d-b051-66084b8d10b8,LUAD,2.0,52.0,4.0,4.0,86,24.0
2895,9ce1229f-f3d2-4183-8887-3b2f4ddac9a7,LUAD,1.0,42.0,3.0,1.0,50,3.0
2896,9d2775cb-f53e-42d1-ae7e-5aad61a9e845,LUAD,0.0,9.0,0.0,0.0,11,2.0
2897,9d5fde39-1fc9-4079-b095-bdc94bbb3679,LUAD,0.0,20.0,1.0,0.0,22,1.0
2898,9e08eb7f-a831-437d-9146-714a0303b833,LUAD,0.0,11.0,0.0,1.0,13,1.0
2899,9e50f719-449f-4c3f-a085-2145777a2107,LUAD,3.0,18.0,2.0,0.0,34,11.0
2900,9e5bc255-a50b-4d60-aa45-8041894a66f8,LUAD,3.0,10.0,1.0,0.0,14,0.0
2901,9e9d5da6-f815-4806-8cec-746ae67e7626,LUAD,1.0,3.0,5.0,1.0,12,2.0
2902,9e9e6d41-ed67-4769-8afd-aa286b9c2d22,LUAD,1.0,8.0,1.0,0.0,14,4.0
2903,9ee78774-70e9-4dcd-9295-812363911605,LUAD,1.0,5.0,0.0,0.0,6,0.0
2904,a01245de-ffee-472d-84f8-6e2049227c66,LUAD,0.0,16.0,1.0,2.0,20,1.0
2905,a0218bbf-25d7-4aff-b3c8-57d67ddd62ed,LUAD,3.0,14.0,4.0,1.0,25,3.0
2906,a1905555-3d81-4446-b90b-e5d1d2519fc0,LUAD,0.0,1.0,0.0,0.0,1,0.0
